wavelength_angstrom,flux_erg_s_cm2_angstrom
3298.6800,4.693441e-13
3301.0600,4.585217e-13
3303.4400,4.559121e-13
3305.8200,4.602340e-13
3308.2000,4.647915e-13
3310.5800,4.579868e-13
3312.9600,4.601845e-13
3315.3400,4.702230e-13
3317.7200,4.750248e-13
3320.1000,4.756595e-13
3322.4800,4.833705e-13
3324.8600,4.960848e-13
3327.2400,5.082461e-13
3329.6200,5.222612e-13
3332.0000,5.374995e-13
3334.3800,5.481315e-13
3336.7600,5.543805e-13
3339.1400,5.671933e-13
3341.5200,5.746945e-13
3343.9000,5.806779e-13
3346.2800,5.809837e-13
3348.6600,5.804686e-13
3351.0400,5.783407e-13
3353.4200,5.732421e-13
3355.8000,5.698574e-13
3358.1800,5.683929e-13
3360.5600,5.615976e-13
3362.9400,5.599866e-13
3365.3200,5.522670e-13
3367.7000,5.488667e-13
3370.0800,5.435019e-13
3372.4600,5.381290e-13
3374.8400,5.336403e-13
3377.2200,5.387895e-13
3379.6000,5.346789e-13
3381.9800,5.336286e-13
3384.3600,5.300895e-13
3386.7400,5.332358e-13
3389.1200,5.401201e-13
3391.5000,5.467992e-13
3393.8800,5.581313e-13
3396.2600,5.662833e-13
3398.6400,5.665858e-13
3401.0200,5.687885e-13
3403.4000,5.722526e-13
3405.7800,5.779850e-13
3408.1600,5.791957e-13
3410.5400,5.847787e-13
3412.9200,5.855199e-13
3415.3000,5.825791e-13
3417.6800,5.816904e-13
3420.0600,5.804928e-13
3422.4400,5.809132e-13
3424.8200,5.809055e-13
3427.2000,5.828403e-13
3429.5800,5.821209e-13
3431.9600,5.881234e-13
3434.3400,5.942661e-13
3436.7200,6.011117e-13
3439.1000,6.108127e-13
3441.4800,6.179186e-13
3443.8600,6.251218e-13
3446.2400,6.312241e-13
3448.6200,6.383073e-13
3451.0000,6.437396e-13
3453.3800,6.507742e-13
3455.7600,6.558664e-13
3458.1400,6.557329e-13
3460.5200,6.537632e-13
3462.9000,6.528719e-13
3465.2800,6.543086e-13
3467.6600,6.516392e-13
3470.0400,6.504239e-13
3472.4200,6.488984e-13
3474.8000,6.477714e-13
3477.1800,6.491189e-13
3479.5600,6.488963e-13
3481.9400,6.505111e-13
3484.3200,6.558124e-13
3486.7000,6.610905e-13
3489.0800,6.657902e-13
3491.4600,6.713875e-13
3493.8400,6.788826e-13
3496.2200,6.865365e-13
3498.6000,6.971938e-13
3500.9800,7.031163e-13
3503.3600,7.122138e-13
3505.7400,7.239747e-13
3508.1200,7.340049e-13
3510.5000,7.409673e-13
3512.8800,7.477342e-13
3515.2600,7.493073e-13
3517.6400,7.523562e-13
3520.0200,7.575084e-13
3522.4000,7.655061e-13
3524.7800,7.674840e-13
3527.1600,7.704049e-13
3529.5400,7.715952e-13
3531.9200,7.731243e-13
3534.3000,7.765760e-13
3536.6800,7.815015e-13
3539.0600,7.879485e-13
3541.4400,7.939165e-13
3543.8200,8.000641e-13
3546.2000,8.038647e-13
3548.5800,8.092372e-13
3550.9600,8.151577e-13
3553.3400,8.196355e-13
3555.7200,8.243313e-13
3558.1000,8.284182e-13
3560.4800,8.301320e-13
3562.8600,8.306353e-13
3565.2400,8.361633e-13
3567.6200,8.409305e-13
3570.0000,8.428498e-13
3572.3800,8.456518e-13
3574.7600,8.497324e-13
3577.1400,8.581735e-13
3579.5200,8.668027e-13
3581.9000,8.718049e-13
3584.2800,8.764926e-13
3586.6600,8.774574e-13
3589.0400,8.761692e-13
3591.4200,8.739699e-13
3593.8000,8.711080e-13
3596.1800,8.655288e-13
3598.5600,8.582509e-13
3600.9400,8.466249e-13
3603.3200,8.389475e-13
3605.7000,8.334572e-13
3608.0800,8.274008e-13
3610.4600,8.226556e-13
3612.8400,8.195234e-13
3615.2200,8.168978e-13
3617.6000,8.167288e-13
3619.9800,8.193970e-13
3622.3600,8.258042e-13
3624.7400,8.362560e-13
3627.1200,8.426054e-13
3629.5000,8.481522e-13
3631.8800,8.524385e-13
3634.2600,8.554113e-13
3636.6400,8.560936e-13
3639.0200,8.536720e-13
3641.4000,8.494510e-13
3643.7800,8.455284e-13
3646.1600,8.422939e-13
3648.5400,8.359463e-13
3650.9200,8.322381e-13
3653.3000,8.284270e-13
3655.6800,8.240615e-13
3658.0600,8.219665e-13
3660.4400,8.210584e-13
3662.8200,8.200262e-13
3665.2000,8.163586e-13
3667.5800,8.114616e-13
3669.9600,8.043476e-13
3672.3400,7.962834e-13
3674.7200,7.854857e-13
3677.1000,7.703915e-13
3679.4800,7.516694e-13
3681.8600,7.301701e-13
3684.2400,7.108017e-13
3686.6200,6.914569e-13
3689.0000,6.730570e-13
3691.3800,6.524499e-13
3693.7600,6.313747e-13
3696.1400,6.085583e-13
3698.5200,5.880269e-13
3700.9000,5.684601e-13
3703.2800,5.531236e-13
3705.6600,5.409819e-13
3708.0400,5.280235e-13
3710.4200,5.166946e-13
3712.8000,5.053164e-13
3715.1800,4.945081e-13
3717.5600,4.822072e-13
3719.9400,4.704882e-13
3722.3200,4.599923e-13
3724.7000,4.502795e-13
3727.0800,4.420162e-13
3729.4600,4.339447e-13
3731.8400,4.277473e-13
3734.2200,4.253348e-13
3736.6000,4.259290e-13
3738.9800,4.301593e-13
3741.3600,4.351094e-13
3743.7400,4.424850e-13
3746.1200,4.498767e-13
3748.5000,4.559918e-13
3750.8800,4.589318e-13
3753.2600,4.591009e-13
3755.6400,4.569345e-13
3758.0200,4.578178e-13
3760.4000,4.612523e-13
3762.7800,4.617983e-13
3765.1600,4.608495e-13
3767.5400,4.596619e-13
3769.9200,4.584298e-13
3772.3000,4.570017e-13
3774.6800,4.548778e-13
3777.0600,4.513256e-13
3779.4400,4.490744e-13
3781.8200,4.462100e-13
3784.2000,4.434007e-13
3786.5800,4.400021e-13
3788.9600,4.368485e-13
3791.3400,4.319684e-13
3793.7200,4.297837e-13
3796.1000,4.281919e-13
3798.4800,4.279795e-13
3800.8600,4.275546e-13
3803.2400,4.271452e-13
3805.6200,4.260449e-13
3808.0000,4.261342e-13
3810.3800,4.285685e-13
3812.7600,4.326038e-13
3815.1400,4.390401e-13
3817.5200,4.463966e-13
3819.9000,4.516505e-13
3822.2800,4.572967e-13
3824.6600,4.645645e-13
3827.0400,4.721478e-13
3829.4200,4.815739e-13
3831.8000,4.922704e-13
3834.1800,5.028462e-13
3836.5600,5.131047e-13
3838.9400,5.252539e-13
3841.3200,5.393933e-13
3843.7000,5.560451e-13
3846.0800,5.716325e-13
3848.4600,5.881944e-13
3850.8400,6.044230e-13
3853.2200,6.241098e-13
3855.6000,6.467536e-13
3857.9800,6.691504e-13
3860.3600,6.929827e-13
3862.7400,7.179837e-13
3865.1200,7.396296e-13
3867.5000,7.618988e-13
3869.8800,7.817935e-13
3872.2600,7.996294e-13
3874.6400,8.159372e-13
3877.0200,8.334249e-13
3879.4000,8.517079e-13
3881.7800,8.654646e-13
3884.1600,8.786108e-13
3886.5400,8.895928e-13
3888.9200,9.011949e-13
3891.3000,9.150561e-13
3893.6800,9.284847e-13
3896.0600,9.396059e-13
3898.4400,9.476960e-13
3900.8200,9.550538e-13
3903.2000,9.598113e-13
3905.5800,9.641376e-13
3907.9600,9.714229e-13
3910.3400,9.784168e-13
3912.7200,9.835587e-13
3915.1000,9.885779e-13
3917.4800,9.947644e-13
3919.8600,9.989365e-13
3922.2400,1.005958e-12
3924.6200,1.011184e-12
3927.0000,1.021454e-12
3929.3800,1.024149e-12
3931.7600,1.013742e-12
3934.1400,1.004956e-12
3936.5200,1.018658e-12
3938.9000,1.046590e-12
3941.2800,1.068489e-12
3943.6600,1.076898e-12
3946.0400,1.078148e-12
3948.4200,1.077244e-12
3950.8000,1.073937e-12
3953.1800,1.071038e-12
3955.5600,1.065051e-12
3957.9400,1.055573e-12
3960.3200,1.042477e-12
3962.7000,1.026300e-12
3965.0800,1.008429e-12
3967.4600,9.865995e-13
3969.8400,9.687010e-13
3972.2200,9.652540e-13
3974.6000,9.627591e-13
3976.9800,9.548711e-13
3979.3600,9.414001e-13
3981.7400,9.269934e-13
3984.1200,9.131030e-13
3986.5000,8.982143e-13
3988.8800,8.853332e-13
3991.2600,8.741832e-13
3993.6400,8.647303e-13
3996.0200,8.530354e-13
3998.4000,8.432844e-13
4000.7800,8.340401e-13
4003.1600,8.247100e-13
4005.5400,8.144707e-13
4007.9200,8.096723e-13
4010.3000,8.095962e-13
4012.6800,8.156445e-13
4015.0600,8.259313e-13
4017.4400,8.354857e-13
4019.8200,8.483777e-13
4022.2000,8.598001e-13
4024.5800,8.686794e-13
4026.9600,8.764315e-13
4029.3400,8.833299e-13
4031.7200,8.897549e-13
4034.1000,8.969044e-13
4036.4800,9.055608e-13
4038.8600,9.109532e-13
4041.2400,9.175078e-13
4043.6200,9.238775e-13
4046.0000,9.278981e-13
4048.3800,9.357232e-13
4050.7600,9.401674e-13
4053.1400,9.461095e-13
4055.5200,9.518484e-13
4057.9000,9.575943e-13
4060.2800,9.650558e-13
4062.6600,9.703621e-13
4065.0400,9.769461e-13
4067.4200,9.840579e-13
4069.8000,9.921388e-13
4072.1800,1.000101e-12
4074.5600,1.008215e-12
4076.9400,1.012952e-12
4079.3200,1.018605e-12
4081.7000,1.023578e-12
4084.0800,1.025584e-12
4086.4600,1.025479e-12
4088.8400,1.026042e-12
4091.2200,1.022539e-12
4093.6000,1.018362e-12
4095.9800,1.012480e-12
4098.3600,1.008647e-12
4100.7400,1.004956e-12
4103.1200,1.002248e-12
4105.5000,1.000372e-12
4107.8800,9.985752e-13
4110.2600,9.993277e-13
4112.6400,9.985765e-13
4115.0200,9.995738e-13
4117.4000,9.982958e-13
4119.7800,9.923798e-13
4122.1600,9.854889e-13
4124.5400,9.733663e-13
4126.9200,9.605181e-13
4129.3000,9.495976e-13
4131.6800,9.374299e-13
4134.0600,9.284826e-13
4136.4400,9.225193e-13
4138.8200,9.163970e-13
4141.2000,9.123653e-13
4143.5800,9.085569e-13
4145.9600,9.053196e-13
4148.3400,9.041706e-13
4150.7200,9.023558e-13
4153.1000,8.994857e-13
4155.4800,8.927141e-13
4157.8600,8.867304e-13
4160.2400,8.798989e-13
4162.6200,8.734437e-13
4165.0000,8.694633e-13
4167.3800,8.664798e-13
4169.7600,8.608917e-13
4172.1400,8.600854e-13
4174.5200,8.579177e-13
4176.9000,8.572198e-13
4179.2800,8.570311e-13
4181.6600,8.568286e-13
4184.0400,8.532844e-13
4186.4200,8.495598e-13
4188.8000,8.461047e-13
4191.1800,8.395463e-13
4193.5600,8.301441e-13
4195.9400,8.245833e-13
4198.3200,8.183972e-13
4200.7000,8.098302e-13
4203.0800,8.008694e-13
4205.4600,7.912894e-13
4207.8400,7.811804e-13
4210.2200,7.715271e-13
4212.6000,7.618826e-13
4214.9800,7.529631e-13
4217.3600,7.431850e-13
4219.7400,7.351286e-13
4222.1200,7.266919e-13
4224.5000,7.192504e-13
4226.8800,7.119865e-13
4229.2600,7.049526e-13
4231.6400,6.984741e-13
4234.0200,6.899503e-13
4236.4000,6.821722e-13
4238.7800,6.754842e-13
4241.1600,6.699768e-13
4243.5400,6.650738e-13
4245.9200,6.591163e-13
4248.3000,6.540912e-13
4250.6800,6.477760e-13
4253.0600,6.455825e-13
4255.4400,6.382713e-13
4257.8200,6.328697e-13
4260.2000,6.266266e-13
4262.5800,6.211042e-13
4264.9600,6.155733e-13
4267.3400,6.094732e-13
4269.7200,6.039075e-13
4272.1000,5.964380e-13
4274.4800,5.882409e-13
4276.8600,5.803462e-13
4279.2400,5.732743e-13
4281.6200,5.658952e-13
4284.0000,5.586905e-13
4286.3800,5.524080e-13
4288.7600,5.447838e-13
4291.1400,5.388518e-13
4293.5200,5.319366e-13
4295.9000,5.281056e-13
4298.2800,5.222228e-13
4300.6600,5.162667e-13
4303.0400,5.131958e-13
4305.4200,5.118352e-13
4307.8000,5.099238e-13
4310.1800,5.114892e-13
4312.5600,5.125028e-13
4314.9400,5.112801e-13
4317.3200,5.136012e-13
4319.7000,5.156299e-13
4322.0800,5.173158e-13
4324.4600,5.207761e-13
4326.8400,5.231127e-13
4329.2200,5.258901e-13
4331.6000,5.312788e-13
4333.9800,5.376426e-13
4336.3600,5.437292e-13
4338.7400,5.484125e-13
4341.1200,5.528329e-13
4343.5000,5.593008e-13
4345.8800,5.643575e-13
4348.2600,5.682244e-13
4350.6400,5.763816e-13
4353.0200,5.832369e-13
4355.4000,5.921327e-13
4357.7800,6.000342e-13
4360.1600,6.059851e-13
4362.5400,6.108507e-13
4364.9200,6.155838e-13
4367.3000,6.204380e-13
4369.6800,6.252634e-13
4372.0600,6.272607e-13
4374.4400,6.309272e-13
4376.8200,6.329925e-13
4379.2000,6.337217e-13
4381.5800,6.367967e-13
4383.9600,6.372762e-13
4386.3400,6.387629e-13
4388.7200,6.406943e-13
4391.1000,6.415984e-13
4393.4800,6.417505e-13
4395.8600,6.429595e-13
4398.2400,6.406959e-13
4400.6200,6.356057e-13
4403.0000,6.303665e-13
4405.3800,6.238428e-13
4407.7600,6.177574e-13
4410.1400,6.104766e-13
4412.5200,6.028992e-13
4414.9000,5.981824e-13
4417.2800,5.914766e-13
4419.6600,5.853949e-13
4422.0400,5.796373e-13
4424.4200,5.736035e-13
4426.8000,5.685820e-13
4429.1800,5.637663e-13
4431.5600,5.600205e-13
4433.9400,5.574129e-13
4436.3200,5.567510e-13
4438.7000,5.588014e-13
4441.0800,5.617290e-13
4443.4600,5.631622e-13
4445.8400,5.649238e-13
4448.2200,5.702330e-13
4450.6000,5.768647e-13
4452.9800,5.855387e-13
4455.3600,5.932951e-13
4457.7400,6.033886e-13
4460.1200,6.131515e-13
4462.5000,6.237370e-13
4464.8800,6.334413e-13
4467.2600,6.421850e-13
4469.6400,6.498531e-13
4472.0200,6.586907e-13
4474.4000,6.671415e-13
4476.7800,6.726576e-13
4479.1600,6.775029e-13
4481.5400,6.817200e-13
4483.9200,6.874882e-13
4486.3000,6.937006e-13
4488.6800,6.985875e-13
4491.0600,7.006109e-13
4493.4400,7.022113e-13
4495.8200,7.051163e-13
4498.2000,7.071205e-13
4500.5800,7.081162e-13
4502.9600,7.106055e-13
4505.3400,7.118230e-13
4507.7200,7.140376e-13
4510.1000,7.183235e-13
4512.4800,7.212483e-13
4514.8600,7.234787e-13
4517.2400,7.257720e-13
4519.6200,7.260991e-13
4522.0000,7.267560e-13
4524.3800,7.263749e-13
4526.7600,7.271048e-13
4529.1400,7.266237e-13
4531.5200,7.247459e-13
4533.9000,7.220113e-13
4536.2800,7.187523e-13
4538.6600,7.154764e-13
4541.0400,7.122007e-13
4543.4200,7.093663e-13
4545.8000,7.061069e-13
4548.1800,7.038441e-13
4550.5600,7.015447e-13
4552.9400,6.989467e-13
4555.3200,6.964909e-13
4557.7000,6.957405e-13
4560.0800,6.942091e-13
4562.4600,6.946840e-13
4564.8400,6.963067e-13
4567.2200,6.954345e-13
4569.6000,6.944723e-13
4571.9800,6.939379e-13
4574.3600,6.934948e-13
4576.7400,6.929504e-13
4579.1200,6.923158e-13
4581.5000,6.911154e-13
4583.8800,6.889255e-13
4586.2600,6.888858e-13
4588.6400,6.889678e-13
4591.0200,6.897802e-13
4593.4000,6.890482e-13
4595.7800,6.894266e-13
4598.1600,6.901852e-13
4600.5400,6.914933e-13
4602.9200,6.925365e-13
4605.3000,6.919749e-13
4607.6800,6.903866e-13
4610.0600,6.897376e-13
4612.4400,6.873334e-13
4614.8200,6.860079e-13
4617.2000,6.825748e-13
4619.5800,6.794073e-13
4621.9600,6.749387e-13
4624.3400,6.700983e-13
4626.7200,6.648019e-13
4629.1000,6.586504e-13
4631.4800,6.498527e-13
4633.8600,6.453242e-13
4636.2400,6.371582e-13
4638.6200,6.287212e-13
4641.0000,6.209986e-13
4643.3800,6.114877e-13
4645.7600,6.043628e-13
4648.1400,5.948522e-13
4650.5200,5.842766e-13
4652.9000,5.774871e-13
4655.2800,5.709236e-13
4657.6600,5.647980e-13
4660.0400,5.571674e-13
4662.4200,5.506389e-13
4664.8000,5.432996e-13
4667.1800,5.359351e-13
4669.5600,5.314424e-13
4671.9400,5.310042e-13
4674.3200,5.261668e-13
4676.7000,5.253531e-13
4679.0800,5.237908e-13
4681.4600,5.262455e-13
4683.8400,5.268726e-13
4686.2200,5.277189e-13
4688.6000,5.293524e-13
4690.9800,5.289751e-13
4693.3600,5.318828e-13
4695.7400,5.318250e-13
4698.1200,5.354020e-13
4700.5000,5.345744e-13
4702.8800,5.343759e-13
4705.2600,5.354762e-13
4707.6400,5.320689e-13
4710.0200,5.316469e-13
4712.4000,5.305471e-13
4714.7800,5.289598e-13
4717.1600,5.265403e-13
4719.5400,5.215242e-13
4721.9200,5.172782e-13
4724.3000,5.121710e-13
4726.6800,5.075015e-13
4729.0600,5.037221e-13
4731.4400,4.977475e-13
4733.8200,4.941816e-13
4736.2000,4.890097e-13
4738.5800,4.843311e-13
4740.9600,4.805718e-13
4743.3400,4.770799e-13
4745.7200,4.717504e-13
4748.1000,4.670163e-13
4750.4800,4.633498e-13
4752.8600,4.605639e-13
4755.2400,4.563853e-13
4757.6200,4.522338e-13
4760.0000,4.499895e-13
4762.3800,4.493679e-13
4764.7600,4.490161e-13
4767.1400,4.494562e-13
4769.5200,4.507017e-13
4771.9000,4.506800e-13
4774.2800,4.531019e-13
4776.6600,4.550903e-13
4779.0400,4.587171e-13
4781.4200,4.629168e-13
4783.8000,4.656517e-13
4786.1800,4.675577e-13
4788.5600,4.700211e-13
4790.9400,4.718016e-13
4793.3200,4.728744e-13
4795.7000,4.721727e-13
4798.0800,4.708586e-13
4800.4600,4.699972e-13
4802.8400,4.693548e-13
4805.2200,4.678150e-13
4807.6000,4.643167e-13
4809.9800,4.606018e-13
4812.3600,4.564966e-13
4814.7400,4.513428e-13
4817.1200,4.444866e-13
4819.5000,4.378101e-13
4821.8800,4.326893e-13
4824.2600,4.274353e-13
4826.6400,4.220902e-13
4829.0200,4.171524e-13
4831.4000,4.129490e-13
4833.7800,4.073252e-13
4836.1600,4.015739e-13
4838.5400,3.957331e-13
4840.9200,3.893130e-13
4843.3000,3.823245e-13
4845.6800,3.750452e-13
4848.0600,3.693865e-13
4850.4400,3.631610e-13
4852.8200,3.569860e-13
4855.2000,3.522395e-13
4857.5800,3.479695e-13
4859.9600,3.448061e-13
4862.3400,3.422988e-13
4864.7200,3.402018e-13
4867.1000,3.393493e-13
4869.4800,3.385706e-13
4871.8600,3.378567e-13
4874.2400,3.386118e-13
4876.6200,3.395916e-13
4879.0000,3.409730e-13
4881.3800,3.426720e-13
4883.7600,3.454313e-13
4886.1400,3.484364e-13
4888.5200,3.514186e-13
4890.9000,3.553848e-13
4893.2800,3.602248e-13
4895.6600,3.637063e-13
4898.0400,3.682141e-13
4900.4200,3.721810e-13
4902.8000,3.750861e-13
4905.1800,3.786524e-13
4907.5600,3.815571e-13
4909.9400,3.850103e-13
4912.3200,3.869707e-13
4914.7000,3.881984e-13
4917.0800,3.896208e-13
4919.4600,3.900642e-13
4921.8400,3.927272e-13
4924.2200,3.937543e-13
4926.6000,3.949727e-13
4928.9800,3.962837e-13
4931.3600,3.966810e-13
4933.7400,3.991652e-13
4936.1200,4.008411e-13
4938.5000,3.999194e-13
4940.8800,3.986880e-13
4943.2600,3.997596e-13
4945.6400,3.999521e-13
4948.0200,3.978987e-13
4950.4000,3.972132e-13
4952.7800,3.956416e-13
4955.1600,3.940520e-13
4957.5400,3.924523e-13
4959.9200,3.889372e-13
4962.3000,3.858032e-13
4964.6800,3.819307e-13
4967.0600,3.812312e-13
4969.4400,3.812173e-13
4971.8200,3.807336e-13
4974.2000,3.809283e-13
4976.5800,3.830909e-13
4978.9600,3.824223e-13
4981.3400,3.829355e-13
4983.7200,3.814492e-13
4986.1000,3.827287e-13
4988.4800,3.821703e-13
4990.8600,3.799262e-13
4993.2400,3.817521e-13
4995.6200,3.824475e-13
4998.0000,3.837964e-13
5000.3800,3.838917e-13
5002.7600,3.853841e-13
5005.1400,3.868738e-13
5007.5200,3.890294e-13
5009.9000,3.907743e-13
5012.2800,3.935893e-13
5014.6600,3.944860e-13
5017.0400,3.967249e-13
5019.4200,3.971924e-13
5021.8000,3.978706e-13
5024.1800,3.999032e-13
5026.5600,3.998104e-13
5028.9400,4.005322e-13
5031.3200,4.025895e-13
5033.7000,4.045269e-13
5036.0800,4.057452e-13
5038.4600,4.077172e-13
5040.8400,4.092265e-13
5043.2200,4.101382e-13
5045.6000,4.137692e-13
5047.9800,4.168081e-13
5050.3600,4.204247e-13
5052.7400,4.248641e-13
5055.1200,4.287596e-13
5057.5000,4.316157e-13
5059.8800,4.359458e-13
5062.2600,4.382746e-13
5064.6400,4.408686e-13
5067.0200,4.427230e-13
5069.4000,4.458720e-13
5071.7800,4.486618e-13
5074.1600,4.500488e-13
5076.5400,4.521330e-13
5078.9200,4.553948e-13
5081.3000,4.599251e-13
5083.6800,4.649631e-13
5086.0600,4.683257e-13
5088.4400,4.703011e-13
5090.8200,4.724552e-13
5093.2000,4.767464e-13
5095.5800,4.809883e-13
5097.9600,4.863944e-13
5100.3400,4.884291e-13
5102.7200,4.923164e-13
5105.1000,4.963069e-13
5107.4800,4.990540e-13
5109.8600,5.027664e-13
5112.2400,5.056744e-13
5114.6200,5.069909e-13
5117.0000,5.087298e-13
5119.3800,5.098591e-13
5121.7600,5.086576e-13
5124.1400,5.091718e-13
5126.5200,5.086945e-13
5128.9000,5.073238e-13
5131.2800,5.053387e-13
5133.6600,5.044570e-13
5136.0400,5.011857e-13
5138.4200,4.974782e-13
5140.8000,4.961216e-13
5143.1800,4.946538e-13
5145.5600,4.919777e-13
5147.9400,4.902067e-13
5150.3200,5.032557e-13
5152.7000,5.004201e-13
5155.0800,4.978248e-13
5157.4600,4.963687e-13
5159.8400,4.960447e-13
5162.2200,4.945067e-13
5164.6000,4.919034e-13
5166.9800,4.907696e-13
5169.3600,4.913056e-13
5171.7400,4.918316e-13
5174.1200,4.916147e-13
5176.5000,4.907319e-13
5178.8800,4.927830e-13
5181.2600,4.940417e-13
5183.6400,4.932165e-13
5186.0200,4.949628e-13
5188.4000,4.960897e-13
5190.7800,4.957307e-13
5193.1600,4.969585e-13
5195.5400,4.986392e-13
5197.9200,4.980993e-13
5200.3000,4.981847e-13
5202.6800,4.960354e-13
5205.0600,4.964956e-13
5207.4400,4.971519e-13
5209.8200,4.940548e-13
5212.2000,4.925484e-13
5214.5800,4.917881e-13
5216.9600,4.883315e-13
5219.3400,4.845683e-13
5221.7200,4.814385e-13
5224.1000,4.760543e-13
5226.4800,4.713988e-13
5228.8600,4.663756e-13
5231.2400,4.603522e-13
5233.6200,4.535385e-13
5236.0000,4.461040e-13
5238.3800,4.381745e-13
5240.7600,4.290292e-13
5243.1400,4.202852e-13
5245.5200,4.128190e-13
5247.9000,4.059488e-13
5250.2800,3.987403e-13
5252.6600,3.902408e-13
5255.0400,3.829866e-13
5257.4200,3.759681e-13
5259.8000,3.687024e-13
5262.1800,3.632459e-13
5264.5600,3.575770e-13
5266.9400,3.524893e-13
5269.3200,3.472615e-13
5271.7000,3.420663e-13
5274.0800,3.379313e-13
5276.4600,3.339783e-13
5278.8400,3.315596e-13
5281.2200,3.284821e-13
5283.6000,3.253176e-13
5285.9800,3.236054e-13
5288.3600,3.216825e-13
5290.7400,3.207615e-13
5293.1200,3.200039e-13
5295.5000,3.204422e-13
5297.8800,3.218733e-13
5300.2600,3.215015e-13
5302.6400,3.200455e-13
5305.0200,3.199387e-13
5307.4000,3.211515e-13
5309.7800,3.222797e-13
5312.1600,3.228273e-13
5314.5400,3.236290e-13
5316.9200,3.253596e-13
5319.3000,3.258743e-13
5321.6800,3.255832e-13
5324.0600,3.264809e-13
5326.4400,3.282687e-13
5328.8200,3.308901e-13
5331.2000,3.326489e-13
5333.5800,3.343115e-13
5335.9600,3.369353e-13
5338.3400,3.400245e-13
5340.7200,3.442073e-13
5343.1000,3.472593e-13
5345.4800,3.491828e-13
5347.8600,3.511607e-13
5350.2400,3.535425e-13
5352.6200,3.565542e-13
5355.0000,3.607775e-13
5357.3800,3.632069e-13
5359.7600,3.645764e-13
5362.1400,3.673726e-13
5364.5200,3.693696e-13
5366.9000,3.686314e-13
5369.2800,3.690127e-13
5371.6600,3.712307e-13
5374.0400,3.722239e-13
5376.4200,3.712157e-13
5378.8000,3.717034e-13
5381.1800,3.719059e-13
5383.5600,3.715314e-13
5385.9400,3.711253e-13
5388.3200,3.703147e-13
5390.7000,3.691987e-13
5393.0800,3.681834e-13
5395.4600,3.669874e-13
5397.8400,3.661801e-13
5400.2200,3.652510e-13
5402.6000,3.624092e-13
5404.9800,3.608210e-13
5407.3600,3.588001e-13
5409.7400,3.564219e-13
5412.1200,3.542512e-13
5414.5000,3.511714e-13
5416.8800,3.486402e-13
5419.2600,3.457885e-13
5421.6400,3.429854e-13
5424.0200,3.397240e-13
5426.4000,3.349030e-13
